origin_id|date_start|date_end|scien_name|life_stage|length|weight|quantity|q_unit|gear_type|fishing_a|soak_time|effort|start_lat|start_lon|end_lat|end_long|time_utc|depth|temp_c|notes|citation|restr|restr_desc|dataset|place|species_fk|species_fi|count_qual|gear_other
FI_fish_1|15/08/2002||Alburnus alburnus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_2|15/08/2002||Alburnus alburnus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_3|15/08/2002||Clupea harengus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_4|15/08/2002||Clupea harengus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_5|15/08/2002||Coregonus maraena|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_6|15/08/2002||Coregonus maraena|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_7|15/08/2002||Gobius niger|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_8|15/08/2002||Gobius niger|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_9|15/08/2002||Gymnocephalus cernua|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_10|15/08/2002||Gymnocephalus cernua|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_11|15/08/2002||Leuciscus idus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_12|15/08/2002||Leuciscus idus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_13|15/08/2002||Osmerus eperlanus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_14|15/08/2002||Osmerus eperlanus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_15|15/08/2002||Perca fluviatilis|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_16|15/08/2002||Perca fluviatilis|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_17|15/08/2002||Platichthys flesus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_18|15/08/2002||Platichthys flesus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_19|15/08/2002||Rutilus rutilus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_20|15/08/2002||Rutilus rutilus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_21|15/08/2002||Sander lucioperca|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_22|15/08/2002||Sprattus sprattus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_23|15/08/2002||Sprattus sprattus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_24|15/08/2002||Taurulus bubalis|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_25|15/08/2002||Taurulus bubalis|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_26|15/08/2003||Abramis brama|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_27|15/08/2003||Abramis brama|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_28|15/08/2003||Alburnus alburnus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_29|15/08/2003||Alburnus alburnus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_30|15/08/2003||Blicca bjoerkna|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_31|15/08/2003||Blicca bjoerkna|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_32|15/08/2003||Clupea harengus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_33|15/08/2003||Clupea harengus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_34|15/08/2003||Coregonus maraena|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_35|15/08/2003||Coregonus maraena|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_36|15/08/2003||Gobius niger|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_37|15/08/2003||Gymnocephalus cernua|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_38|15/08/2003||Gymnocephalus cernua|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_39|15/08/2003||Leuciscus idus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_40|15/08/2003||Leuciscus idus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_41|15/08/2003||Osmerus eperlanus|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_42|15/08/2003||Osmerus eperlanus|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_43|15/08/2003||Perca fluviatilis|Juvenile|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
FI_fish_44|15/08/2003||Perca fluviatilis|Adult|||1|presence/absence|Gill net||12||60.04025|21.51101||||||||Yes|"Source ""Finnish National test fishing register"" must be mentioned"|Luke_gillnet_fish_FI|Brunskär||||
