"scien_name","ICES","Sweden gillnet","Finland gillnet","number_datasets"
"Abramis brama",1,1,1,3
"Acanthascus (Rhabdocalyptus) mirabilis",1,0,0,1
"Acantholabrus palloni",1,0,0,1
"Acipenser oxyrinchus",1,0,0,1
"Agonus cataphractus",1,1,0,2
"Alloteuthis subulata",1,0,0,1
"Alosa agone",1,0,0,1
"Alosa fallax",1,1,1,3
"Alpheus",1,0,0,1
"Amblyraja radiata",1,0,0,1
"Ammodytes",1,0,0,1
"Ammodytes marinus",1,1,0,2
"Ammodytes tobianus",1,1,1,3
"Ammodytidae",1,0,0,1
"Anarhichas lupus",1,1,0,2
"Anguilla anguilla",1,1,0,2
"Aphia minuta",1,1,0,2
"Argentina silus",1,0,0,1
"Argentina sphyraena",1,0,0,1
"Argyropelecus olfersii",1,0,0,1
"Arnoglossus laterna",1,1,0,2
"Atherina presbyter",1,0,0,1
"Aurelia",1,0,0,1
"Aurelia aurita",1,0,0,1
"Belone belone",1,1,0,2
"Bothidae",1,0,0,1
"Brama brama",1,0,0,1
"Buglossidium luteum",1,1,0,2
"Callionymidae",1,0,0,1
"Callionymus",1,0,0,1
"Callionymus lyra",1,1,0,2
"Callionymus maculatus",1,0,0,1
"Cancer pagurus",1,1,0,2
"Caranx rhonchus",1,0,0,1
"Carcinus maenas",1,1,0,2
"Cephalopoda",1,0,0,1
"Chelidonichthys cuculus",1,0,0,1
"Chelidonichthys lucerna",1,0,0,1
"Chelon labrosus",1,1,0,2
"Ciliata mustela",1,1,0,2
"Clupea harengus",1,1,1,3
"Coregonus albula",1,1,1,3
"Coregonus lavaretus",1,0,0,1
"Corvomeyenia carolinensis",1,0,0,1
"Cottidae",1,0,0,1
"Crangon",1,0,0,1
"Crangon crangon",1,1,0,2
"Crystallogobius linearis",1,0,0,1
"Ctenolabrus rupestris",1,1,0,2
"Cyclopterus lumpus",1,1,0,2
"Dicentrarchus labrax",1,1,0,2
"Dipturus batis",1,0,0,1
"Echiichthys vipera",1,0,0,1
"Enchelyopus cimbrius",1,1,0,2
"Engraulis encrasicolus",1,0,0,1
"Entelurus aequoreus",1,1,0,2
"Esox lucius",1,1,1,3
"Etmopterus spinax",1,0,0,1
"Eutrigla gurnardus",1,1,0,2
"Gadus morhua",1,1,1,3
"Gaidropsarus macrophthalmus",1,0,0,1
"Gaidropsarus vulgaris",1,0,0,1
"Gasterosteidae",1,0,0,1
"Gasterosteus aculeatus",1,1,1,3
"Glyptocephalus cynoglossus",1,0,0,1
"Gobiidae",1,0,0,1
"Gobius niger",1,1,1,3
"Gymnammodytes semisquamatus",1,0,0,1
"Gymnocephalus cernua",1,0,1,2
"Hippoglossoides platessoides",1,1,0,2
"Hippoglossus hippoglossus",1,0,0,1
"Homarus gammarus",1,1,0,2
"Hyperoplus",1,0,0,1
"Hyperoplus immaculatus",1,0,0,1
"Hyperoplus lanceolatus",1,1,1,3
"Labridae",1,0,0,1
"Labrus bergylta",1,1,0,2
"Lampetra fluviatilis",1,0,1,2
"Lepidorhombus whiffiagonis",1,0,0,1
"Leptoclinus maculatus",1,0,0,1
"Lesueurigobius friesii",1,0,0,1
"Limanda limanda",1,1,1,3
"Liparis",1,0,0,1
"Liparis liparis liparis",1,0,0,1
"Liparis montagui",1,1,0,2
"Lipophrys pholis",1,0,0,1
"Lithodes maja",1,1,0,2
"Loligo vulgaris",1,0,0,1
"Lophius piscatorius",1,0,0,1
"Lota lota",1,1,1,3
"Lumpenus lampretaeformis",1,0,0,1
"Lycodes gracilis",1,0,0,1
"Lycodes vahlii",1,0,0,1
"Macoma balthica",1,0,0,1
"Maurolicus muelleri",1,0,0,1
"Melanogrammus aeglefinus",1,0,0,1
"Merlangius merlangus",1,1,0,2
"Merluccius merluccius",1,0,0,1
"Micromesistius poutassou",1,0,0,1
"Microstomus kitt",1,1,0,2
"Molva molva",1,1,0,2
"Mullus barbatus barbatus",1,0,0,1
"Mullus surmuletus",1,1,0,2
"Mustelus asterias",1,0,0,1
"Mustelus mustelus",1,0,0,1
"Myoxocephalus quadricornis",1,0,1,2
"Myoxocephalus scorpius",1,1,1,3
"Mytilus edulis",1,0,0,1
"Myxine glutinosa",1,0,0,1
"Neogobius",1,0,0,1
"Neogobius melanostomus",1,1,1,3
"Nephrops norvegicus",1,1,0,2
"Nerophis ophidion",1,1,1,3
"Ommastrephidae",1,0,0,1
"Osmerus eperlanus",1,1,1,3
"Pandalus borealis",1,0,0,1
"Pecten maximus",1,0,0,1
"Pegusa lascaris",1,0,0,1
"Perca fluviatilis",1,1,1,3
"Petromyzon marinus",1,0,0,1
"Petromyzontinae",1,0,0,1
"Phocoena phocoena",1,0,0,1
"Pholis gunnellus",1,1,1,3
"Phycis blennoides",1,0,0,1
"Platichthys flesus",1,1,1,3
"Pleuronectes platessa",1,1,0,2
"Pleuronectiformes",1,0,0,1
"Pollachius pollachius",1,1,0,2
"Pollachius virens",1,1,0,2
"Pomatoschistus",1,0,0,1
"Pomatoschistus flavescens",1,0,0,1
"Pomatoschistus microps",1,0,0,1
"Pomatoschistus minutus",1,1,1,3
"Pungitius pungitius",1,1,0,2
"Raja clavata",1,0,0,1
"Raniceps raninus",1,1,0,2
"Regalecus glesne",1,0,0,1
"Rutilus rutilus",1,1,1,3
"Saduria",1,0,0,1
"Saduria entomon",1,0,0,1
"Salmo salar",1,1,1,3
"Salmo trutta",1,1,1,3
"Sander lucioperca",1,1,1,3
