"algo","cv_run","metric","calibration","validation"
"XGBOOST","RUN1","TSS",0.942,0.884
"XGBOOST","RUN1","ROC",0.984,0.979
"RF","RUN1","TSS",0.934,0.861
"RF","RUN1","ROC",0.992,0.977
"GBM","RUN1","TSS",0.935,0.898
"GBM","RUN1","ROC",0.985,0.978
"XGBOOST","RUN2","TSS",0.938,0.901
"XGBOOST","RUN2","ROC",0.985,0.966
"RF","RUN2","TSS",0.947,0.794
"RF","RUN2","ROC",0.993,0.963
"GBM","RUN2","TSS",0.937,0.862
"GBM","RUN2","ROC",0.985,0.974
"XGBOOST","RUN3","TSS",0.938,0.918
"XGBOOST","RUN3","ROC",0.986,0.977
"RF","RUN3","TSS",0.941,0.848
"RF","RUN3","ROC",0.993,0.978
"GBM","RUN3","TSS",0.934,0.903
"GBM","RUN3","ROC",0.984,0.978
