"algo","cv_run","metric","calibration","validation"
"XGBOOST","RUN1","TSS",0.902,0.726
"XGBOOST","RUN1","ROC",0.984,0.938
"RF","RUN1","TSS",0.908,0.729
"RF","RUN1","ROC",0.968,0.919
"GBM","RUN1","TSS",0.914,0.768
"GBM","RUN1","ROC",0.987,0.937
"XGBOOST","RUN2","TSS",0.885,0.795
"XGBOOST","RUN2","ROC",0.98,0.945
"RF","RUN2","TSS",0.9,0.833
"RF","RUN2","ROC",0.968,0.934
"GBM","RUN2","TSS",0.91,0.802
"GBM","RUN2","ROC",0.985,0.947
"XGBOOST","RUN3","TSS",0.893,0.764
"XGBOOST","RUN3","ROC",0.983,0.95
"RF","RUN3","TSS",0.918,0.699
"RF","RUN3","ROC",0.977,0.903
"GBM","RUN3","TSS",0.906,0.794
"GBM","RUN3","ROC",0.986,0.963
