"algo","cv_run","metric","calibration","validation"
"XGBOOST","RUN1","TSS",0.551,0.492
"XGBOOST","RUN1","ROC",0.872,0.849
"RF","RUN1","TSS",0.692,0.509
"RF","RUN1","ROC",0.928,0.852
"GBM","RUN1","TSS",0.574,0.512
"GBM","RUN1","ROC",0.882,0.861
"XGBOOST","RUN2","TSS",0.562,0.489
"XGBOOST","RUN2","ROC",0.878,0.832
"RF","RUN2","TSS",0.695,0.458
"RF","RUN2","ROC",0.931,0.832
"GBM","RUN2","TSS",0.578,0.479
"GBM","RUN2","ROC",0.885,0.839
"XGBOOST","RUN3","TSS",0.542,0.532
"XGBOOST","RUN3","ROC",0.868,0.858
"RF","RUN3","TSS",0.686,0.497
"RF","RUN3","ROC",0.926,0.86
"GBM","RUN3","TSS",0.57,0.549
"GBM","RUN3","ROC",0.881,0.867
