"date","count","lat","long","train1","train2","train3","aspect_250m","bottom_salinity_mean_resample_250m","bpi_4000_20000_250m","bpi_500_5000_250m","chloro_a_mean_resample_250m","chloro_a_sd_resample_250m","depth_250m","distance_from_coast_250m","distance_to_rivers_250m","fishing_effort_mean_250m","fishing_effort_quantiles_250m","o2_bottom_mean_resample_250m","o2_bottom_sd_resample_250m","o2_surface_mean_resample_250m","o2_surface_sd_resample_250m","ph_mean_resample_250m","ph_sd_resample_250m","primary_productivity_mean_resample_250m","primary_productivity_sd_resample_250m","secchi_depth_mean_resample_250m","secchi_depth_sd_resample_250m","slope_250m","summer_bottomT_mean_resample_250m","summer_surfaceT_mean_resample_250m","surface_salinity_mean_resample_250m","wave_sig_height_mean_resample_250m","wave_sig_height_sd_resample_250m","winter_bottomT_mean_resample_250m","winter_surfaceT_mean_resample_250m","year_round_bottomT_mean_resample_250m","year_round_bottomT_sd_resample_250m","year_round_surfaceT_mean_resample_250m","year_round_surfaceT_sd_resample_250m"
2000-04-03,0,59.91667,25.02983,0,1,1,180,8.04268550872803,-9,-5,1.23984527587891,0.960103988647461,71,40298,62195,1,7,189.215194702148,58.8678207397461,361.021942138672,48.0965538024902,8.25318717956543,0.0476573668420315,1923.55822753906,1597.71008300781,8.76599597930908,1.3588707447052,0.114591404795647,4.55154895782471,12.150710105896,5.21986865997314,0.79422789812088,0.0633197724819183,5.2244029045105,2.62658143043518,4.79559707641602,0.927702188491821,8.14414405822754,5.91438579559326
2000-05-01,0,54.57,11.33333,0,1,1,0,22.2962169647217,-6,-1,1.52196085453033,0.520813405513763,26,15344,24901,0,3,279.576141357422,56.6002769470215,327.504241943359,39.8452606201172,8.11229133605957,0.0379148423671722,2979.890625,1266.17321777344,10.1870946884155,1.26427090167999,0.114591404795647,10.3068218231201,14.5755567550659,12.0472040176392,0.63030594587326,0.0345999337732792,5.44129085540771,4.35446500778198,9.35254859924316,4.04697561264038,10.3021984100342,5.49181175231934
2000-05-01,0,55,13.3,0,1,0,90,16.6916065216064,-3,0,1.43931257724762,0.651028573513031,45,62875,80018,1,7,233.245681762695,80.372802734375,338.495697021484,40.6256828308105,8.10526371002197,0.0369309075176716,2799.32983398438,1746.77453613281,9.32451629638672,1.23150169849396,3.97569339823689e-16,9.00012969970703,13.6479740142822,7.95037889480591,0.938744187355042,0.0491142757236958,6.89548540115356,4.84650039672852,9.335129737854,4.158616065979,10.1457242965698,5.38896036148071
2000-05-01,0,55.37667,11,0,0,1,38,30.0016746520996,-6,-1,1.41299259662628,0.401784390211105,26,8048,25919,1,8,245.210998535156,51.5408782958984,323.04833984375,39.5633697509766,8.10829544067383,0.0374584682285786,2647.1630859375,1141.8115234375,10.8081607818604,1.1772825717926,0.36686697602272,7.6448450088501,14.9185972213745,14.0626239776611,0.494704246520996,0.0271239764988422,7.49930095672607,4.17777395248413,9.03320789337158,3.12628412246704,10.3398427963257,5.56511545181274
2000-05-01,0,55.85833,12.66867,1,1,1,45,27.2509708404541,0,-2,1.59748435020447,0.588067173957825,16,7877,21475,0,6,266.885894775391,47.5268707275391,329.726989746094,41.2379417419434,8.11549186706543,0.041224017739296,3265.52807617188,1612.98779296875,10.1500396728516,1.241459608078,0.162056505680084,11.4372615814209,15.0851316452026,11.775954246521,0.24467146396637,0.0174893140792847,6.88274145126343,3.89000248908997,10.2786359786987,3.91456627845764,10.1646480560303,5.71458339691162
2000-05-01,0,56.66667,12.11667,1,1,1,154,33.7481689453125,-6,-12,1.2060467004776,0.349064737558365,53,56769,61970,10,10,243.902618408203,40.892505645752,314.126495361328,39.6676750183105,8.10853862762451,0.0460852943360806,1885.99719238281,993.6298828125,12.2954483032227,1.06828689575195,0.474196135997772,7.15654420852661,15.2938327789307,19.2790813446045,0.853907108306885,0.0749390348792076,8.35302734375,4.0426287651062,8.79349040985107,2.64697265625,10.3197021484375,5.76589250564575
2000-05-09,0,56.66667,12.11667,1,1,1,154,33.7481689453125,-6,-12,1.2060467004776,0.349064737558365,53,56769,61970,10,10,243.902618408203,40.892505645752,314.126495361328,39.6676750183105,8.10853862762451,0.0460852943360806,1885.99719238281,993.6298828125,12.2954483032227,1.06828689575195,0.474196135997772,7.15654420852661,15.2938327789307,19.2790813446045,0.853907108306885,0.0749390348792076,8.35302734375,4.0426287651062,8.79349040985107,2.64697265625,10.3197021484375,5.76589250564575
2000-05-09,0,57.19167,11.66667,0,1,1,79,34.098030090332,-14,-15,1.22329926490784,0.380348742008209,67,43353,64119,15,10,255.511535644531,37.8678092956543,309.864593505859,38.5002021789551,8.11701393127441,0.0491838678717613,1922.32275390625,1034.28649902344,12.5459690093994,1.16083788871765,0.786594688892365,7.93237400054932,15.2091856002808,21.4300670623779,0.879228174686432,0.0766187533736229,7.84821891784668,4.28539848327637,8.84466457366943,2.56100273132324,10.3591556549072,5.65065717697144
2000-05-10,0,57.55,11.525,1,1,0,45,34.4423446655273,-17,-6,1.28934586048126,0.431824654340744,75,20508,50610,5,10,269.4931640625,27.8558387756348,309.525177001953,38.7649383544922,8.11765098571777,0.048614215105772,2153.40795898438,1198.60485839844,12.4672679901123,1.29901838302612,0.283597320318222,7.62235498428345,15.1275720596313,21.9590740203857,0.878448605537415,0.0844123959541321,7.56098937988281,4.16620969772339,8.31594181060791,2.01897120475769,10.2630653381348,5.64524459838867
2000-05-22,0,59.852,23.2532,1,0,1,199,5.88598585128784,1,2,1.54155158996582,1.18888306617737,10,780,4987,0,1,369.539703369141,44.2389678955078,367.74853515625,48.2855644226074,8.19242382049561,0.0716122016310692,3049.18383789062,2299.30200195312,8.65439796447754,1.39792847633362,0.942252099514008,10.3506927490234,11.8995161056519,5.79169893264771,0.445301234722137,0.0361161716282368,1.88316941261292,1.72455835342407,6.96754837036133,4.93373966217041,7.49165201187134,5.57330560684204
