"variables","corTest","AUCtest"
"aspect_250m",0.31,0.08
"bottom_salinity_mean_resample_250m",7.62,2.84
"bpi_4000_20000_250m",0.99,0.28
"bpi_500_5000_250m",0.41,0.12
"chloro_a_mean_resample_250m",1.4,0.96
"depth_250m",0.59,0.4
"distance_from_coast_250m",0.68,0.36
"distance_to_rivers_250m",0.37,0.32
"fishing_effort_mean_250m",0.04,0
"fishing_effort_quantiles_250m",0.09,0
"o2_bottom_mean_resample_250m",0.92,0.36
"o2_bottom_sd_resample_250m",0.36,0.2
"ph_mean_resample_250m",2.99,1.52
"ph_sd_resample_250m",0.24,0.2
"primary_productivity_sd_resample_250m",1.46,0.76
"secchi_depth_mean_resample_250m",0.74,0.4
"secchi_depth_sd_resample_250m",0.96,0.12
"slope_250m",1.73,0.2
"summer_bottomT_mean_resample_250m",6.33,2.68
"wave_sig_height_sd_resample_250m",0.36,0.16
"winter_bottomT_mean_resample_250m",0.21,0.2
"year_round_surfaceT_sd_resample_250m",0.84,0.12
"biozone_resample_250m",7.72,1.56
"sediment_resample_250m",5.19,0.88
