"variables","corTest","AUCtest"
"aspect_250m",0.39,0.24
"bottom_salinity_mean_resample_250m",37.61,19.72
"bpi_4000_20000_250m",0.9,0.2
"bpi_500_5000_250m",0.94,0.2
"chloro_a_mean_resample_250m",0.68,0.12
"depth_250m",0.81,0.16
"distance_from_coast_250m",2.08,0.64
"distance_to_rivers_250m",0.37,0.12
"fishing_effort_mean_250m",1.29,0
"fishing_effort_quantiles_250m",0.76,0.12
"o2_bottom_mean_resample_250m",0.88,0.28
"o2_bottom_sd_resample_250m",0.78,0.28
"ph_mean_resample_250m",0.3,0.16
"ph_sd_resample_250m",0.35,0.12
"primary_productivity_sd_resample_250m",0.45,0.12
"secchi_depth_mean_resample_250m",3.72,1.44
"secchi_depth_sd_resample_250m",2.88,0.2
"slope_250m",0.32,0.2
"summer_bottomT_mean_resample_250m",1.27,0.36
"wave_sig_height_sd_resample_250m",1.44,0.4
"winter_bottomT_mean_resample_250m",1.08,0.32
"year_round_surfaceT_sd_resample_250m",2.22,0.64
