"variables","corTest","AUCtest"
"aspect_250m",0.25,0.36
"bottom_salinity_mean_resample_250m",11.89,7.72
"bpi_4000_20000_250m",0.49,0.44
"bpi_500_5000_250m",0.35,0.36
"chloro_a_mean_resample_250m",0.34,0.48
"depth_250m",8.64,4.36
"distance_from_coast_250m",0.63,0.52
"distance_to_rivers_250m",0.53,0.48
"fishing_effort_mean_250m",0.08,0.04
"fishing_effort_quantiles_250m",0.15,0.08
"o2_bottom_mean_resample_250m",1.91,1.04
"o2_bottom_sd_resample_250m",0.56,0.8
"ph_mean_resample_250m",5.66,3.28
"ph_sd_resample_250m",0.98,1.08
"primary_productivity_sd_resample_250m",1.25,1.28
"secchi_depth_mean_resample_250m",1.21,1.24
"secchi_depth_sd_resample_250m",0.52,0.8
"slope_250m",0.3,0.4
"summer_bottomT_mean_resample_250m",1.65,1.52
"wave_sig_height_sd_resample_250m",1.39,1.6
"winter_bottomT_mean_resample_250m",1.18,0.8
"year_round_surfaceT_sd_resample_250m",4.17,2.32
"biozone_resample_250m",0.73,0.48
"sediment_resample_250m",1.61,0.56
