"variables","corTest","AUCtest"
"aspect_250m",0.2,0.6
"bottom_salinity_mean_resample_250m",10.17,7.52
"bpi_4000_20000_250m",0.16,0.52
"bpi_500_5000_250m",0.23,0.56
"chloro_a_mean_resample_250m",0.58,1.24
"depth_250m",0.28,0.96
"distance_from_coast_250m",0.15,0.72
"distance_to_rivers_250m",0.29,0.92
"fishing_effort_mean_250m",0.05,0.16
"fishing_effort_quantiles_250m",0.06,0.2
"o2_bottom_mean_resample_250m",1.44,1.92
"o2_bottom_sd_resample_250m",7.32,6.88
"ph_mean_resample_250m",1.27,2.92
"ph_sd_resample_250m",0.22,0.6
"primary_productivity_sd_resample_250m",1.26,2.04
"secchi_depth_mean_resample_250m",0.3,0.92
"secchi_depth_sd_resample_250m",0.29,0.96
"slope_250m",0.34,0.6
"summer_bottomT_mean_resample_250m",3.67,4.28
"wave_sig_height_sd_resample_250m",0.41,1.04
"winter_bottomT_mean_resample_250m",1.18,1.36
"year_round_surfaceT_sd_resample_250m",1.1,1.92
"biozone_resample_250m",1.48,1.52
"sediment_resample_250m",0.46,0.72
