"variables","corTest","AUCtest"
"aspect_250m",0.47,0.4
"bottom_salinity_mean_resample_250m",10.13,6.32
"bpi_4000_20000_250m",0.87,0.44
"bpi_500_5000_250m",6.54,2.32
"chloro_a_mean_resample_250m",0.63,0.4
"depth_250m",6.19,3.56
"distance_from_coast_250m",0.33,0.44
"distance_to_rivers_250m",0.98,0.6
"fishing_effort_mean_250m",0.06,0
"fishing_effort_quantiles_250m",1.34,0.56
"o2_bottom_mean_resample_250m",2.99,1.48
"o2_bottom_sd_resample_250m",0.84,0.56
"ph_mean_resample_250m",1.52,1.16
"ph_sd_resample_250m",0.93,0.44
"primary_productivity_sd_resample_250m",0.5,0.4
"secchi_depth_mean_resample_250m",5.51,2.8
"secchi_depth_sd_resample_250m",1.4,0.6
"slope_250m",0.41,0.4
"summer_bottomT_mean_resample_250m",3.5,1.84
"wave_sig_height_sd_resample_250m",2.36,1.76
"winter_bottomT_mean_resample_250m",4.7,1.72
"year_round_surfaceT_sd_resample_250m",1.77,0.68
